Participant_id,Trial,Experiment_id,Start_time,Valence,Arousal,Dominance,Liking,Familiarity
1,1,5,1695918,6.96,3.92,7.19,6.05,4
1,2,18,2714905,7.23,7.15,6.94,8.01,4
1,3,4,3586768,4.94,6.01,6.12,8.06,4
1,4,24,4493800,7.04,7.09,8.01,8.22,4
1,5,20,5362005,8.26,7.91,7.19,8.13,1
1,6,31,6176062,3.03,8.14,2.86,8.04,1
1,7,40,7138735,5.1,7.12,6.17,5.97,3
1,8,39,8081417,3.24,6.18,7.87,6.15,1
1,9,13,8960934,1.95,3.12,2.87,6.18,1
1,10,33,9816492,3.81,3.85,4.78,5.13,1
1,11,6,10696693,8.27,3.92,7,8.03,2
1,12,10,11559734,1.99,4.86,2.04,7.09,2
1,13,35,12593050,2.06,8.15,8.05,5.18,1
1,14,22,13429432,7.09,2.08,7.06,7.37,1
1,15,15,14230827,3.17,8.08,2.91,5.04,1
1,16,17,15040219,2.46,6.91,6.77,6.41,4
1,17,36,15852443,2.9,6.92,6.5,3.87,1
1,18,34,16671331,2.28,7.09,7.28,6.92,1
1,19,14,17538704,4.18,2.24,3.04,5.04,4
1,20,27,18394413,7.35,6.95,7.03,7.29,4
1,21,11,21438533,2.99,2.36,3.63,6.24,1
1,22,30,22211440,2.08,2.99,3.22,7.33,2
1,23,29,23070480,1.36,2.27,3,8.14,2
1,24,1,23886202,7.71,7.6,6.9,7.83,5
1,25,7,24727583,7.44,3.73,7.08,7.04,2
1,26,32,25513149,2.28,8,3.27,3.95,4
1,27,12,26324041,2.71,2.77,3.4,7.35,1
1,28,16,27096611,6.81,7.44,8.15,7.14,3
1,29,25,27849356,8.86,7.21,8.65,7.21,2
1,30,28,28631424,3.88,3.35,4.01,7.87,1
1,31,8,29432485,7.32,2.55,6.32,5.87,4
1,32,3,30256705,8.58,7.54,9,7.08,5
1,33,38,31027614,3.33,7.18,6.54,6.62,1
1,34,37,31824673,2.31,6.88,3.1,6.77,1
1,35,19,32609406,7.17,8,8.1,6.79,4
1,36,2,33358152,8.1,7.31,7.28,8.47,2
1,37,21,34106731,9,7.95,8.37,7.86,2
1,38,23,34848979,8.15,3.01,7.37,7.9,1
1,39,9,35645376,4.04,3.29,3.62,5.99,5
1,40,26,36420779,7.28,7.27,7.41,8.24,3
2,1,27,9130709,4.96,5.01,3.01,5.05,
2,2,17,10018910,9,3,6.03,7.41,
2,3,35,10907105,1.99,2,1,1,
2,4,31,11803301,4.06,7.05,1,9,
2,5,38,12645182,1,9,1,1,
2,6,32,13431914,1,9,2.01,1,
2,7,30,14241973,2.01,7.05,1,7.13,
2,8,33,15077689,5,8.03,3.01,1,
2,9,24,15891248,7.08,9,6.06,9,
2,10,29,16734959,2.99,7.04,7.03,9,
2,11,20,17534354,8.97,9,8.03,9,
2,12,12,18328085,8.01,6.06,7.12,9,
2,13,28,19107153,4.06,4.97,7.14,7.04,
2,14,37,19895552,1,8.06,1,1,
2,15,7,20658459,4.96,1.99,4.08,1,
2,16,6,21473014,5,4.94,5.04,1.01,
2,17,26,22268579,9,8.04,9,9,
2,18,18,23070306,9,6.15,9,8.08,
2,19,8,26149925,9,9,9,9,
2,20,2,26906168,8.01,7.1,8.04,8.08,
2,21,11,27803863,7.08,1,7.01,7,
2,22,4,28562106,6.05,1,5.04,7.03,
2,23,19,29525945,9,8.32,8.06,6.99,
2,24,14,30468625,8.94,9,8.97,9,
2,25,23,31228534,1,2.97,1,7.82,
