Timestamp	Name (optional)	Time: 0 - 3:22 [Valence]	Time: 0 - 3:22 [Arousal]	Time: 0:05 - 0:27 [Valence]	Time: 0:05 - 0:27 [Arousal]	Time: 0:28 - 0:47 [Valence]	Time: 0:28 - 0:47 [Arousal]	Time: 0:48 - 1:13 [Valence]	Time: 0:48 - 1:13 [Arousal]	Time: 1:14 - 1:37 [Valence]	Time: 1:14 - 1:37 [Arousal]	Time: 1:38 - 2:46 [Valence]	Time: 1:38 - 2:46 [Arousal]	Time: 2:47 - 3:09 [Valence]	Time: 2:47 - 3:09 [Arousal]	Time: 3:10 - 3:20 [Valence]	Time: 3:10 - 3:20 [Arousal]	Time: 3:21 - 4:09 [Valence]	Time: 3:21 - 4:09 [Arousal]	Time: 0:06 - 1:13 [Valence]	Time: 0:06 - 1:13 [Arousal]	Time: 1:14 - 2:28 [Valence]	Time: 1:14 - 2:28 [Arousal]	Time: 2:29 - 4:06 [Valence]	Time: 2:29 - 4:06 [Arousal]	Time: 4:07 - 4:20 [Valence]	Time: 4:07 - 4:20 [Arousal]	Time: 4:21 - 5:09 [Valence]	Time: 4:21 - 5:09 [Arousal]	Time: 5:10 - 6:32 [Valence]	Time: 5:10 - 6:32 [Arousal]	Time: 0:11 - 4:26 [Valence]	Time: 0:11 - 4:26 [Arousal]	Time: 0:10 - 4:15 [Valence]	Time: 0:10 - 4:15 [Arousal]	Time: 0:27 - 1:13 [Valence]	Time: 0:27 - 1:13 [Arousal]	Time: 1:14 - 1:28 [Valence]	Time: 1:14 - 1:28 [Arousal]	Time: 1:29 - 1:58 [Valence]	Time: 1:29 - 1:58 [Arousal]	Time: 1:59 - 2:28 [Valence]	Time: 1:59 - 2:28 [Arousal]	Time: 2:29 - 2:51 [Valence]	Time: 2:29 - 2:51 [Arousal]	Time: 2:52 - 4:12 [Valence]	Time: 2:52 - 4:12 [Arousal]	Time: 0:05 - 3:10 [Valence]	Time: 0:05 - 3:10 [Arousal]	Time: 0 - 3:50 [Valence]	Time: 0 - 3:50 [Arousal]	Comment (optional)
		6	7	4	6	6	6	7	5	7	6	7	7	6	7	6	7	6	8	3	6	6	8	6	6	7	8	5	5	6	7	7	7	7	6	4	6	5	7	4	3	6	7	5	5	6	7	7	7	7	7	
		8	9	3	7	5	7	5	6	6	4	7	7	6	7	6	8	8	8	3	6	4	9	9	1	7	7	4	8	6	9	5	8	5	7	2	6	5	7	3	6	5	7	2	5	4	8	9	6	6	7	
		8	9	4	4	6	5	3	3	6	5	7	6	7	7	6	5	7	8	2	7	8	8	4	3	6	8	5	7	6	8	6	8	6	7	5	5	8	9	5	4	6	7	6	7	9	8	4	5	5	7	
		9	9	3	3	4	4	3	3	5	6	5	6	5	5	4	4	5	5	3	3	5	7	6	3	6	7	6	6	6	6	6	2	7	6	2	2	2	2	3	3	3	3	4	4	2	2	8	8	6	6	
		9	9	1	5	3	7	1	9	3	3	7	7	5	5	7	7	9	9	1	9	9	8	1	8	8	8	8	9	7	9	8	9	8	9	1	9	3	7	9	8	8	8	2	8	9	9	8	8	2	9	
		7	7	8	8	6	7	7	6	6	7	6	7	7	7	5	6	8	8	7	8	6	7	6	7	7	8	7	8	7	8	6	7	8	8	7	7	7	7	7	7	7	7	6	7	5	7	7	8	7	8	
		7	2	7	4	6	5	7	4	6	5	5	6	5	6	5	4	5	4	6	4	6	5	6	4	6	4	6	5	6	6	5	6	5	6	6	3	6	3	6	4	6	5	6	5	6	5	5	6	6	7	
		6	3	7	5	6	5	5	2	6	5	6	5	5	4	6	5	6	4	7	6	6	5	6	5	7	5	7	6	7	6	5	6	6	3	6	2	6	3	6	3	6	3	6	4	6	4	6	4	6	3	
		8	8	7	7	8	8	7	7	8	8	7	7	7	7	8	8	8	8	7	7	8	8	7	7	8	8	7	7	8	8	8	8	7	7	7	7	8	8	7	7	8	8	7	7	8	8	8	8	8	8	
		8	9	8	9	9	8	8	9	8	7	7	9	8	9	8	7	9	7	8	9	9	8	9	8	8	9	9	8	8	7	9	7	8	9	9	7	7	8	9	8	8	9	7	8	8	7	9	8	8	9	
