"Timestamp","Age","Video 1 [Valence]","Video 1 [Arousal]","Video 2 [Valence]","Video 2 [Arousal]","Video 3 [Valence]","Video 3 [Arousal]","Video 4 [Valence]","Video 4 [Arousal]","Video 5 [Valence]","Video 5 [Arousal]","Video 6 [Valence]","Video 6 [Arousal]","Video 7 [Valence]","Video 7 [Arousal]","Video 8 [Valence]","Video 8 [Arousal]","Video 9 [Valence]","Video 9 [Arousal]","Video 10 [Valence]","Video 10 [Arousal]"
"2019/12/13 12:16:33 AM GMT+9","32","2","3","5","5","6","8","7","5","5","4","3","5","7","7","6","6","5","4","5","4"
"2019/12/13 12:19:21 AM GMT+9","42","4","5","5","5","5","5","6","6","5","5","5","5","5","5","5","5","4","4","5","5"
"2019/12/13 12:25:15 AM GMT+9","25","9","9","1","9","9","9","9","9","1","9","1","9","9","9","1","9","1","9","1","9"
"2019/12/13 12:41:52 AM GMT+9","48","5","3","5","3","4","3","4","3","4","2","4","2","3","2","3","2","2","2","1","1"
"2019/12/13 12:44:27 AM GMT+9","35","7","8","8","7","5","8","7","8","8","8","8","7","8","8","8","7","6","7","7","8"
"2019/12/13 12:48:57 AM GMT+9","30","8","6","3","3","7","7","8","9","6","5","9","9","9","9","8","7","7","9","1","1"
"2019/12/13 12:52:40 AM GMT+9","28","5","6","6","7","6","6","6","6","6","6","5","5","7","6","6","7","6","5","4","5"
"2019/12/13 12:59:26 AM GMT+9","39","9","8","6","7","3","4","5","2","3","2","5","2","2","1","4","4","3","1","3","2"
"2019/12/13 1:03:09 AM GMT+9","57","4","1","1","1","4","6","7","7","7","7","3","4","1","1","5","7","1","1","9","9"
"2019/12/13 1:05:25 AM GMT+9","30","1","1","1","1","1","1","1","1","1","1","1","1","3","3","1","1","1","1","2","1"
