"Timestamp","Age","Video 1 [Emotion]","Video 2 [Emotion]","Video 3 [Emotion]","Video 4 [Emotion]","Video 5 [Emotion]","Video 6 [Emotion]","Video 7 [Emotion]","Video 8 [Emotion]","Video 1 [Emotion]","Video 2 [Emotion]","Video 3 [Emotion]","Video 4 [Emotion]","Video 5 [Emotion]","Video 6 [Emotion]","Video 7 [Emotion]","Video 8 [Emotion]"
"2019/12/12 2:33:01 PM GMT+9","37","7","8","8","9","2","8","6","1","9","9","9","9","8","8","9","9"
"2019/12/12 2:33:40 PM GMT+9","30","6","7","7","6","7","7","7","6","7","6","8","6","7","7","7","7"
"2019/12/12 2:35:01 PM GMT+9","22","4","5","6","7","5","6","4","4","6","3","2","6","4","4","5","6"
"2019/12/12 2:35:24 PM GMT+9","31","5","8","7","8","9","6","7","5","9","2","5","6","3","7","2","2"
"2019/12/12 2:36:20 PM GMT+9","27","6","5","5","5","5","5","5","6","5","4","4","5","4","4","4","4"
"2019/12/12 2:39:55 PM GMT+9","29","9","9","9","9","9","9","9","9","8","9","9","9","9","9","9","9"
"2019/12/12 2:48:48 PM GMT+9","21","5","4","3","3","4","3","6","3","4","5","3","4","6","3","6","2"
"2019/12/12 3:10:47 PM GMT+9","25","5","8","8","6","8","6","2","7","6","8","7","7","6","7","2","8"
"2019/12/12 3:35:41 PM GMT+9","28","7","8","7","8","7","7","8","7","8","9","8","7","8","7","9","7"
"2019/12/12 3:39:57 PM GMT+9","31","5","3","2","2","5","6","8","3","5","6","4","5","6","5","7","2"
