"Timestamp","Age","Preferred video","Preferred video","Preferred video","Preferred video","Preferred video","Preferred video","Preferred video","Preferred video"
"2019/12/12 4:12:33 AM GMT+9","28","A","B","B","A","B","B","A","A"
"2019/12/12 4:13:55 AM GMT+9","22","B","A","Either","B","A","A","B","Either"
"2019/12/12 4:14:09 AM GMT+9","42","B","B","A","A","B","Either","A","B"
"2019/12/12 4:14:26 AM GMT+9","31","A","A","B","A","B","A","A","B"
"2019/12/12 4:14:47 AM GMT+9","23","A","A","B","Either","A","Either","A","Either"
"2019/12/12 4:15:52 AM GMT+9","30","A","B","B","Either","A","A","B","Either"
"2019/12/12 4:16:06 AM GMT+9","34","A","B","A","A","B","B","A","A"
"2019/12/12 4:16:20 AM GMT+9","34","B","B","A","A","A","B","B","B"
"2019/12/12 4:16:57 AM GMT+9","59","Either","A","B","B","A","B","B","B"
"2019/12/12 4:20:53 AM GMT+9","51","Either","A","B","B","A","B","A","A"
"2019/12/12 4:21:12 AM GMT+9","31","B","A","A","B","A","A","A","B"
"2019/12/12 4:22:03 AM GMT+9","23","A","B","B","A","A","B","B","A"
"2019/12/12 4:22:51 AM GMT+9","32","A","B","A","B","A","B","A","B"
"2019/12/12 4:25:21 AM GMT+9","66","A","A","B","A","A","B","A","B"
"2019/12/12 4:28:14 AM GMT+9","42","B","A","B","Either","B","A","Either","Either"
"2019/12/12 4:29:56 AM GMT+9","25","A","B","B","B","B","A","Either","B"
"2019/12/12 4:30:26 AM GMT+9","30","B","A","Either","A","B","A","A","A"
"2019/12/12 4:31:32 AM GMT+9","54","A","Either","B","Either","B","B","Either","B"
"2019/12/12 4:45:56 AM GMT+9","22","A","A","Either","A","A","A","Either","B"
"2019/12/12 4:48:31 AM GMT+9","24","A","A","B","A","A","A","B","B"
"2019/12/12 4:51:13 AM GMT+9","31","A","A","A","A","B","B","Either","A"
"2019/12/12 5:02:33 AM GMT+9","25","A","B","A","A","Either","A","A","A"
