"Timestamp","Age","Video 1 [Valence]","Video 1 [Arousal]","Video 2 [Valence]","Video 2 [Arousal]","Video 3 [Valence]","Video 3 [Arousal]","Video 4 [Valence]","Video 4 [Arousal]","Video 5 [Valence]","Video 5 [Arousal]","Video 6 [Valence]","Video 6 [Arousal]","Video 7 [Valence]","Video 7 [Arousal]","Video 8 [Valence]","Video 8 [Arousal]","Video 1 [Valence]","Video 1 [Arousal]","Video 2 [Valence]","Video 2 [Arousal]","Video 3 [Valence]","Video 3 [Arousal]","Video 4 [Valence]","Video 4 [Arousal]","Video 5 [Valence]","Video 5 [Arousal]","Video 6 [Valence]","Video 6 [Arousal]","Video 7 [Valence]","Video 7 [Arousal]","Video 8 [Valence]","Video 8 [Arousal]"
"2019/12/12 3:42:51 AM GMT+9","31","4","6","2","4","3","5","4","5","2","4","4","6","4","3","3","4","3","4","3","4","3","4","3","4","3","5","4","6","4","5","2","3"
"2019/12/12 3:43:01 AM GMT+9","28","9","9","1","1","1","1","1","1","1","1","8","8","1","1","3","3","8","8","1","1","1","1","1","1","1","1","8","8","1","1","3","3"
"2019/12/12 3:43:37 AM GMT+9","26","8","9","9","9","8","7","7","6","6","7","6","5","6","7","7","8","6","5","5","6","7","6","5","6","7","6","6","7","6","7","6","7"
"2019/12/12 3:45:28 AM GMT+9","30","5","6","5","7","6","4","5","7","6","7","6","7","5","4","6","8","5","6","7","8","5","6","6","5","6","5","5","6","6","5","6","7"
"2019/12/12 3:46:02 AM GMT+9","28","6","7","8","6","6","7","5","6","8","8","6","4","8","9","6","5","6","5","6","7","6","7","5","7","6","8","4","5","7","6","5","7"
"2019/12/12 3:50:45 AM GMT+9","28","6","8","7","4","8","8","5","3","7","7","5","6","7","6","6","7","8","8","5","4","6","7","3","5","5","7","4","4","7","6","6","7"
"2019/12/12 3:56:17 AM GMT+9","31","3","3","5","5","6","5","4","5","6","4","5","6","4","5","7","7","3","3","8","8","8","8","6","6","8","8","5","5","8","8","6","6"
"2019/12/12 3:58:58 AM GMT+9","26","7","8","7","8","7","8","8","7","8","8","8","9","7","8","7","8","7","8","7","6","6","7","8","9","7","8","8","9","8","7","7","8"
"2019/12/12 4:00:02 AM GMT+9","31","9","7","3","3","4","6","6","6","6","5","5","6","5","5","7","6","9","9","2","2","5","4","5","6","7","6","7","6","7","7","5","4"
"2019/12/12 4:02:53 AM GMT+9","26","7","8","7","6","6","7","6","7","6","7","7","6","6","7","7","6","6","7","8","7","7","8","7","8","8","9","8","7","7","8","8","9"
